2,2,0
3,101,0
4,443,201
5,989,471
6,1664,826
7,2534,1346
8,3313,1776
9,4397,2305
10,5769,2938
11,7243,3593
12,8856,4344
13,10717,5194
14,12746,6096
15,14955,7148
